epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1161.82,0.70514,0.34841,0.80517,0.99926,0.9998,0.995,0.83963,0.66283,0.29756,0.79229,0.000104639,0.000104639,0.000104639
84,1176.52,0.69998,0.34246,0.80667,0.99815,0.99903,0.995,0.83481,0.67826,0.29896,0.79398,9.91348e-05,9.91348e-05,9.91348e-05
85,1191.35,0.70179,0.3432,0.80537,0.99832,0.9996,0.995,0.83835,0.66644,0.29602,0.79286,9.36304e-05,9.36304e-05,9.36304e-05
86,1205.12,0.69912,0.34231,0.80368,0.99893,0.99935,0.995,0.83773,0.66689,0.29681,0.79307,8.8126e-05,8.8126e-05,8.8126e-05
87,1219.68,0.70298,0.34233,0.80628,0.99892,0.9987,0.99491,0.83498,0.67753,0.29813,0.79415,8.26216e-05,8.26216e-05,8.26216e-05
88,1234.22,0.69633,0.3393,0.80506,0.99884,0.99963,0.995,0.83605,0.67217,0.29592,0.79348,7.71172e-05,7.71172e-05,7.71172e-05
89,1247.86,0.69537,0.34013,0.80594,0.99838,0.99957,0.995,0.83685,0.67259,0.29734,0.79358,7.16128e-05,7.16128e-05,7.16128e-05
90,1261.42,0.69914,0.3405,0.80336,0.9986,0.99914,0.99491,0.83759,0.66696,0.29495,0.79277,6.61084e-05,6.61084e-05,6.61084e-05
91,1273.5,0.66638,0.30177,0.80987,0.99876,0.9986,0.99497,0.8348,0.67318,0.30173,0.79349,6.0604e-05,6.0604e-05,6.0604e-05
92,1284.71,0.66225,0.30043,0.80837,0.99868,0.99891,0.995,0.83464,0.66987,0.29954,0.79298,5.50996e-05,5.50996e-05,5.50996e-05
93,1295.91,0.66054,0.2949,0.80667,0.99858,0.99886,0.99497,0.83779,0.66349,0.29678,0.79265,4.95952e-05,4.95952e-05,4.95952e-05
94,1307.07,0.65384,0.2904,0.80785,0.99915,0.99904,0.995,0.83839,0.66445,0.2942,0.79265,4.40908e-05,4.40908e-05,4.40908e-05
95,1318.26,0.65211,0.29119,0.80675,0.99863,0.99891,0.995,0.8372,0.66621,0.29596,0.79282,3.85864e-05,3.85864e-05,3.85864e-05
96,1329.38,0.65189,0.2898,0.80745,0.99906,0.99921,0.995,0.83785,0.66398,0.29489,0.79247,3.3082e-05,3.3082e-05,3.3082e-05
97,1340.57,0.64767,0.28758,0.80697,0.99875,0.99898,0.99499,0.83944,0.65985,0.29373,0.79227,2.75776e-05,2.75776e-05,2.75776e-05
98,1351.81,0.64873,0.2885,0.80644,0.99929,0.99896,0.995,0.83952,0.66085,0.29351,0.7924,2.20732e-05,2.20732e-05,2.20732e-05
99,1363.03,0.64809,0.28777,0.80564,0.99909,0.99865,0.995,0.83887,0.66221,0.29285,0.79237,1.65688e-05,1.65688e-05,1.65688e-05
100,1374.23,0.6476,0.28739,0.8056,0.99894,0.99882,0.995,0.83875,0.66364,0.29327,0.79269,1.10644e-05,1.10644e-05,1.10644e-05
